"Run","NoBench_Bias","NoBench_Coverage","NoBench_Gelman_rho","NoBench_Gelman_log_kappa","NoBench_Gelman_S1","NoBench_Gelman_P1","NoBench_Runtime","Bench_Bias","Bench_Coverage","Bench_Gelman_rho","Bench_Gelman_log_kappa","Bench_Gelman_S1","Bench_Gelman_P1","Bench_Runtime","Diff_Bench_Pstar","Diff_NoBench_Pstar","Diff_Bench_NoBench"
51,3.05093333333371,0.955555555555556,1.0003960856249,1.00010157476406,1.00066444411932,1.00060820957912,47.183,2.87964722222635,0.955555555555556,1.00141801978046,1.00024756711754,0.999880835192361,0.999938767022493,150.257,1.05550833333328,1.12788333333276,1.44163611111087
52,1.36603888888901,0.964444444444444,1.0002468421867,1.00014402258482,1.00048056529737,1.00127614972149,47.077,1.49631388889081,0.96,1.00087992458377,1.00053716027769,1.00076921130833,1.00019547696407,149.035,1.18598611111191,1.19977777777729,1.58618611111248
53,-0.441908333335677,0.946666666666667,1.00095488796367,0.999938066484932,1.00097656378515,0.999866394253817,45.135,-0.408575000000241,0.946666666666667,1.00123360018854,1.00002295959425,1.00055657877276,1.00022658926356,143.124,1.10784166666826,1.14892499999827,1.36151666666669
54,1.29467499999927,0.973333333333333,0.999793292424936,1.00024130670204,1.00172323648815,1.00026251302284,47.143,1.16481111111101,0.973333333333333,1.00039571517235,1.00054861409435,1.00019620748967,1.00019292829053,150.775,1.1350555555568,1.0757972222212,1.44990277777578
55,1.16933611111055,0.955555555555556,1.00034781442303,1.00029487538929,0.999873677326924,0.9998285613118,47.332,1.0964166666669,0.955555555555556,1.00094905504934,1.00073208382544,1.00124024032908,1.00004049005828,149.265,1.00385000000152,0.996880555555088,1.34633611111333
56,-5.40328333333436,0.928888888888889,1.00081722267092,1.00102960960604,1.00037244586345,1.00038220643557,46.867,-5.44966111111164,0.928888888888889,1.00053630355735,1.00017078321784,1.00019883448383,1.00030684078614,150.735,0.968516666667025,1.094205555553,1.47812222221862
57,2.67871666666561,0.951111111111111,1.0015139963012,0.999739400579696,0.999990844128738,0.999781559381072,46.805,2.75762500000184,0.96,1.00104215687071,1.00031847798389,0.999808098357605,0.999955864511371,149.329,1.15941944444513,1.14686111111204,1.50599722222213
58,-2.11170277777715,0.951111111111111,1.00066945421985,1.00007443611511,1.00087911971633,1.0000164680976,45.4340000000001,-2.15817777777558,0.951111111111111,1.00003281411901,0.99997827183969,1.0008907369892,0.999881837889208,143.235,1.07941666666989,1.08045277777899,1.43710277778086
59,2.02729166666659,0.906666666666667,1.00197696164787,1.00034335622221,1.00101943105924,1.00027800309739,47.201,1.91958888888873,0.906666666666667,1.0026110252077,1.00018547245323,0.999835821618601,1.00044819572734,151.099,1.06813888888939,1.1573416666659,1.56966944444346
60,3.33432777777799,0.96,1.00110100120306,1.00010447832812,1.00037958554656,1.00056298806346,46.784,3.51763055555436,0.942222222222222,1.00104755459786,1.00024242028952,1.0006987518305,1.00001367929544,149.558,0.997241666667849,1.14963888888799,1.48040277777835
61,1.57739444444476,0.928888888888889,1.00035747366693,1.00008904304089,1.00043133569719,1.00081681452435,47.075,1.63635000000111,0.924444444444444,1.00114472356236,0.999986277780732,1.00095435961346,1.000777820985,150.352,1.17679444444552,1.20777777777667,1.5041277777785
62,0.37797222222278,0.92,1.00006942855449,0.999927209203573,1.00064750538413,1.00178416556499,47.458,0.421941666666794,0.933333333333333,1.00188414466675,1.00013409781995,1.00056757609675,1.00020584975092,149.248,1.14410833333556,1.10183888888951,1.52984166667005
63,-0.146522222221021,0.911111111111111,1.00029008131072,1.00183943649849,1.0006443339453,1.00016772315964,45.1900000000001,-0.236150000000128,0.911111111111111,0.999979394202137,0.999759451383362,0.999747045583533,1.00000092665814,142.883,1.07688333333146,1.06965555555393,1.46509444444236
64,0.450636111112272,0.968888888888889,1.00079362747534,1.00109011366259,1.00000586756835,1.00002908807135,46.936,0.461408333332412,0.968888888888889,1.00154744351547,1.00050688238746,1.00084856310646,1.00001081212149,150.522,0.978430555555905,1.05456944444565,1.38941666666809
65,3.22943888888747,0.951111111111111,1.0000635051071,1.00098957944046,0.999713695696764,1.00092013475634,46.907,3.07499999999971,0.942222222222222,1.00098763795241,0.999896009277457,0.999807609034079,1.00027824898008,149.202,1.11683333333342,1.1123888888881,1.35636111111113
66,-1.90382500000129,0.955555555555556,1.00275030407926,0.999931390333352,1.00042643680113,1.00177511464565,46.884,-2.02774444444564,0.951111111111111,1.00067533627865,1.00170657340723,1.00102205621054,1.00122364844726,150.032,1.03882222222304,1.14321388889146,1.46817500000258
67,0.973199999999467,0.964444444444444,1.00056112037882,1.00006118238319,1.00014633853231,1.00074233417456,47.041,0.893197222223276,0.96,1.00185629290027,0.999890164718252,1.00035611355957,1.00017438434547,149.199,1.1139638888887,1.07418333333227,1.40624722222064
68,-0.931747222222448,0.942222222222222,1.00060709325521,0.999946175574179,1.00007371565981,1.00024787944621,45.026,-1.07921666666642,0.933333333333333,1.00279312931431,1.00015163751019,1.00045753660813,0.999857954169803,143.037,1.06723888889103,1.0663305555547,1.52364722222213
69,-0.558522222220916,0.946666666666667,1.00040224669641,1.00115188084598,1.00020044386014,0.999805139834206,47.143,-0.356252777776765,0.946666666666667,1.00018817683504,0.99996290723988,1.0002008538928,1.00077654099052,150.849,1.09667500000041,1.03492222222368,1.55920833333516
70,1.2245916666658,0.951111111111111,1.00058969001542,0.999728100507118,1.0001055487921,1.00011629622749,47.453,1.33428611111158,0.946666666666667,1.0010742695083,0.999996851437494,1.0003516283237,1.00002391429835,149.334,1.14918611111034,1.14958055555598,1.53175555555478
71,-2.38317777777524,0.942222222222222,1.00098180275502,1.00043097437757,1.00073138943958,0.999867310927169,47.052,-2.3587499999996,0.946666666666667,1.00058591346585,0.999952332072724,1.00060550703548,1.00009297546954,150.359,1.15510555555642,1.20241666666809,1.50302777777625
72,0.364052777779491,0.933333333333333,1.00153500360146,1.00065791027696,1.00004838871772,1.00025316190501,47.375,0.402902777780182,0.924444444444444,1.00102299627598,0.999833779625726,1.00062239270982,0.999918555485917,149.383,1.18804722222131,1.02631388889065,1.55096111111206
73,4.20131944444378,0.964444444444444,1.00100600985441,1.0011972633433,1.00004020967525,0.999976326317833,44.831,4.05952777777701,0.96,1.00005892748331,0.999791271157392,1.0001114535935,1.00001407232956,142.647,1.16428888888694,1.11981388888722,1.46736944444241
74,2.52303611111086,0.973333333333333,1.0003288183124,0.999991303814586,1.00093472377126,1.00028500402661,46.775,2.5341888888891,0.968888888888889,1.00016718771797,1.00022648905761,1.00020500702183,1.00069494578591,150.488,1.07551666666707,1.09720833333381,1.40792500000218
75,0.195624999999836,0.964444444444444,0.999896279606792,1.00021243549406,1.00033387628894,1.00024550458594,46.835,0.304069444445251,0.951111111111111,1.00076490567636,1.00039615997299,1.00042126218032,0.999856389682072,148.891,1.0765861111116,1.06701944444472,1.42297777777867
76,-1.97206388888924,0.933333333333333,0.999820172656959,0.999935292543188,1.00005547355193,0.999760879969927,47.131,-1.82580277777819,0.937777777777778,1.00000946616059,0.999927634901157,1.0002018304688,1.00129815968584,150.819,1.07486388888896,1.05848055555531,1.37046666666731
77,-3.66857222222394,0.973333333333333,1.00076191726951,1.00056413975999,1.00067680227727,0.999708087704781,46.924,-3.88732777777772,0.96,1.00011436241525,1.00054430688707,1.00065944762041,1.00020963923736,149.622,1.09271111111051,0.989733333335243,1.37188888888633
78,-3.43394166666688,0.933333333333333,0.999980260978744,1.00004150898374,0.999868435072573,0.999996762024612,46.884,-3.63062777777778,0.942222222222222,0.999955131953398,1.00037348903324,1.00019096821394,1.00173263330777,150.043,1.08806111111191,1.11114722222108,1.47695833333225
79,0.0406027777775671,0.942222222222222,0.999784384529491,0.999969651485605,1.00144631028246,1.00122096448058,47.347,0.0269888888880081,0.937777777777778,1.00040678939168,0.999726206366055,1.00056758731678,1.00028007040871,149.324,1.04675555555675,1.09349722222267,1.45633611111192
80,2.25546666666703,0.955555555555556,1.00147585163159,1.00032242025349,1.00067505840581,1.00053546279745,45.501,2.38379722222119,0.955555555555556,1.00107973128083,1.00052160071547,1.0013634202206,1.00039264563319,142.929,1.01258611111188,1.1319833333337,1.39903055555383
81,1.63576944444692,0.955555555555556,1.00041560670831,0.999794592974607,1.00109909568504,1.00099693255128,47.227,1.55517222222058,0.96,1.00074998815421,0.999984956208311,0.999781690075425,0.999822357507039,150.735,1.08255555555644,1.0665749999994,1.37627499999967
82,1.85251111110742,0.973333333333333,1.00062011625215,1.00063261809737,1.0015101514743,1.00017065560653,46.966,1.97889444444193,0.982222222222222,1.0003495982339,1.00124155883455,1.00080550629935,0.999748038319727,149.141,1.14624999999866,1.0475055555549,1.47542777777898
83,0.0159638888909114,0.933333333333333,1.00309033748706,0.999920781075713,1.00050082495922,1.00118154264104,47.102,-0.05133333333496,0.937777777777778,1.00302440451297,1.00062436781677,1.00104814255076,1.00050637818527,150.866,1.0911055555539,1.06563055555615,1.42054722222098
84,-0.500908333334477,0.964444444444444,1.00026124826623,0.999840911971448,1.00010189438592,1.0004625504906,47.04,-0.364563888888516,0.973333333333333,1.00049863950813,0.999836653595878,1.00001244170397,0.999800734571172,149.518,1.03905833333375,1.08611388888958,1.40618888888892
85,-3.71994999999872,0.937777777777778,1.0009312204737,1.00023973016344,1.00010983827912,1.00028509192767,45.258,-3.60474444444758,0.942222222222222,1.00124184431443,1.00047232704231,1.00035266428822,0.999915832706401,143.064,0.98839444444343,1.02436111111084,1.32777222222354
86,5.29991388888873,0.968888888888889,1.00191198300536,1.00043857177668,0.999891563705691,1.00028278880917,46.994,5.22161111111056,0.968888888888889,0.999997111539255,1.00032819363253,0.99971391442895,1.00069638716985,150.047,1.06649999999959,1.03889722222325,1.4361527777789
87,-1.12926388888822,0.951111111111111,1.00133612178132,1.00015726257306,1.00091774486397,0.999807445613714,47.198,-1.11979166666569,0.942222222222222,0.999976350586424,1.00043324431462,1.00023017482337,1.00038884318328,148.922,1.03018611110869,1.12468055555466,1.46868888888532
88,4.59712777777738,0.946666666666667,1.00056031737829,1.00170588315375,1.00061269104069,0.999923966241846,47.227,4.7065388888885,0.946666666666667,1.00012136013244,0.999946648175506,0.999937779985533,1.00073075290132,151.026,1.04237777777796,1.07774999999905,1.34226666666628
89,-1.56386666666586,0.942222222222222,0.999876520313069,1.00105933938156,1.00045681487602,1.00024704298304,46.958,-1.63451388888955,0.942222222222222,0.999963255513742,1.0004650108201,0.999883552623183,1.00037343517948,149.227,1.12265833333462,1.10289444444517,1.50745277778235
90,0.898397222221167,0.955555555555556,0.999848217286057,1.00141121964088,1.00024571708912,1.00026511837078,45.153,0.844797222222701,0.964444444444444,0.999889490360322,1.00247252565046,1.00011261260968,1.00080956377368,143.272,1.00964722222198,1.05411388888918,1.34635555555391
91,-5.05440555556114,0.951111111111111,1.00015450905597,1.00021599417608,1.00101188704279,1.00013475215733,47.19,-5.04313888888513,0.942222222222222,1.00006116450425,1.00202710546532,0.999927458629295,1.00048603064065,151.024,1.12914999999631,1.06998888889183,1.41582777777247
92,-1.02306388889172,0.942222222222222,1.00004025344375,1.0001996627487,1.00118396880633,1.00176323453014,47.553,-1.06865277777759,0.937777777777778,0.999907768780832,0.999982936726496,1.00015266372331,0.999764232414441,149.289,1.07613055555501,1.10330833333437,1.44351111111447
93,0.788041666668332,0.955555555555556,1.00050242502382,1.00042806126116,0.999883160138603,1.00098237065518,46.879,0.820502777778022,0.96,1.00018069483208,1.00000855650061,1.0007026450813,0.999803794750428,150.293,1.06907500000026,1.16081388888895,1.47207222222023
94,-2.43988611111095,0.937777777777778,0.999941231981121,0.999847639137425,0.999817249008408,1.00076173171154,47.418,-2.56596111110897,0.946666666666667,1.00029429361676,1.00031324036221,1.00004149289304,0.999826249830452,149.673,1.01060000000151,1.07029722222213,1.30075277777847
95,1.14947222222243,0.933333333333333,1.00364203159427,1.00010754392872,0.999921967432085,0.999716035533835,45.5700000000001,1.27277222222129,0.928888888888889,1.00094062625931,0.999826285352422,1.00007211910834,1.00010186258437,143.221,1.09833333333353,1.03203888888935,1.38278333333336
96,1.43018333333237,0.955555555555556,1.00082705127068,1.00070910831299,1.00026500154459,1.00091599424639,46.871,1.43652777777905,0.955555555555556,1.00130732137896,1.0000249488984,1.00059216044529,1.00026306312304,150.14,1.03377222222391,1.16429444444177,1.38628333333339
97,5.79743888888894,0.937777777777778,1.00149648525798,0.999771573776347,0.999800552619045,1.00011608681341,46.967,5.79257777777682,0.946666666666667,1.00072172942992,1.0001838771653,1.00066115774082,0.99993510141201,149.005,1.08604444444659,1.14118888888963,1.51791111111247
98,6.74006666666684,0.973333333333333,1.00080520529893,1.00052606280393,1.00043312764364,1.00015328437308,46.729,6.5661527777771,0.964444444444444,1.00061283727535,1.00078471748738,1.00137066834759,1.00077759801929,150.463,1.09215277777857,1.11165000000165,1.46030277777747
99,-3.36477500000087,0.924444444444444,1.00002662389021,1.00017216775021,1.00051420517455,1.0001653014815,47.453,-3.34988055555404,0.924444444444444,1.00274976000099,1.00056934598239,0.999951641970835,1.00039975996715,149.296,1.09804722222215,1.13968611111062,1.44101666666568
100,-3.56034999999891,0.933333333333333,1.00132852072471,1.0002015760896,1.00149088306618,1.00000127140431,45.55,-3.5839499999989,0.946666666666667,1.00050475271304,1.00031379465905,0.999968219611412,1.00209835036731,143.175,1.05618888888819,0.996705555554508,1.40102222222034
