"Run","Bias","CI_Coverage","Gelman_rho","Gelman_log_kappa","Gelman_S1","Gelman_P1","Runtime"
1,-7.72552499999957,0.942222222222222,1.00136637613845,0.999914990806163,0.99999984808008,0.999997471768415,52.042
2,-3.86582499999836,0.955555555555556,1.00056252309037,1.00015924592195,1.00014587893723,1.00012384581132,52.285
3,0.830900000000011,0.92,1.00083302878318,1.00000371097215,1.00024871540069,1.00059831770376,52.1850000000001
4,0.19198611111254,0.955555555555556,1.00006802530998,0.99988603392102,1.00037273528956,1.00020870909544,51.739
5,-0.541327777777204,0.977777777777778,1.00085870176683,1.0006723770294,1.00204095426432,1.00059899567033,52.063
6,-7.89574166666542,0.92,1.00113697561234,0.999945704301078,1.00014206544863,1.00009664264983,52.256
7,3.07021944444288,0.911111111111111,1.00006069381442,0.999888733693886,1.00009429118024,0.999784768548841,52.296
8,-0.930441666667164,0.937777777777778,0.99987501720386,1.00017622678361,1.00114053536248,1.00003210058514,52.307
9,0.851002777776459,0.911111111111111,1.00099113167043,1.00026243535175,1.00032400582508,0.999853164620816,51.706
10,-0.501002777779329,0.946666666666667,1.00023409582689,1.00045121104784,1.00070043068232,1.00041377538742,51.775
11,-2.57418611111127,0.951111111111111,1.00065388804118,1.00111215598558,1.00082943304931,1.0008837299284,52.095
12,4.01865833333396,0.928888888888889,1.00017413120205,1.00022254961406,1.00126504638793,0.999875418215211,52.677
13,-1.91960833333294,0.96,1.000460566259,1.00048287775113,0.999939349342743,1.00020018198923,52.741
14,-2.39028888888819,0.955555555555556,1.00021851635072,1.00035775904992,1.00004407654128,1.00079694692549,51.95
15,-2.30769166666436,0.955555555555556,1.00106258815654,1.00012159234565,0.999739250570966,0.999924496171578,52.581
16,-1.90301111111208,0.951111111111111,0.999841012379595,1.00001957928788,1.00006814964792,1.0001079495282,52.225
17,-4.73692222222494,0.942222222222222,1.0006094503302,1.00047647404069,1.00027362317714,1.00035618505982,51.929
18,-2.7584666666667,0.946666666666667,1.00007869445285,1.00061203657033,1.00047329330355,1.00046407913478,52.788
19,-0.795736111111313,0.955555555555556,1.00094561549344,1.0001780713147,1.0012982615295,0.999871723252552,51.87
20,-0.821130555556236,0.968888888888889,1.00310845599934,1.00040686606844,1.00072735041525,1.00076065264729,52.458
21,-1.86245555555674,0.946666666666667,1.00167937004862,1.00084694388088,1.00109611221976,0.999983967041732,51.72
22,-3.37283888888736,0.937777777777778,1.00026977143424,1.00014270746942,1.00116756045234,1.00020862161219,52.768
23,1.60768333332991,0.973333333333333,1.00038579512961,1.0004014292194,1.00114896655502,1.0000923692562,52.5540000000001
24,-2.39134722222222,0.955555555555556,1.00069651466627,1.00061887850033,1.0011404794101,1.00047187339848,51.852
25,2.35610000000309,0.942222222222222,1.00201880911658,1.00044685647905,1.00005721384854,1.00068187811097,51.764
26,-1.82062777777887,0.96,0.999966684897978,1.00076620955311,0.99973547101147,0.99984054437371,51.812
27,-2.88785833333358,0.964444444444444,1.00037475796191,1.00026155109337,1.00032967447012,1.00038152145339,52.341
28,-2.81643611111233,0.96,1.00089118771012,0.999790867075626,0.999816750588472,1.00010745335837,52.054
29,1.44085833333139,0.955555555555556,1.00066307369723,1.00063756103933,1.00046060933974,1.00016469111204,52.276
30,-1.24786944444528,0.937777777777778,1.00009809879088,0.999862905096322,1.00000038434053,1.00000635808522,52.026
31,-1.97703055555579,0.933333333333333,1.00088357880642,1.00006083911178,1.00085958996714,1.00053243929647,51.972
32,-1.10687499999951,0.96,1.0003484050145,0.999774813189635,1.00042268013476,1.00048910702242,52.443
33,-0.6387666666673,0.96,1.00270125659973,1.00055895112302,0.999972781199773,1.00003191429526,51.858
34,4.22520555555526,0.937777777777778,1.00084006498341,1.00034931440077,1.00068359629046,0.999975800533689,52.353
35,-0.377033333333053,0.96,0.999969101942143,1.00001805737753,1.00039127481124,1.00036662575922,52.2320000000001
36,1.19002222222374,0.96,1.00024811822604,1.00031340448456,1.00041202963697,1.00001894279278,51.92
37,0.499041666665574,0.951111111111111,0.999948969872905,0.999904540610256,0.999882967397323,1.00003508847573,51.94
38,1.09824999999987,0.946666666666667,1.00073849046618,1.00034830807933,1.0002034046769,1.00070351159189,51.921
39,-0.601122222220688,0.942222222222222,1.00388017958923,1.00001827566913,0.999886662771765,1.00010278190935,52.705
40,1.23319166666523,0.942222222222222,1.00079577644008,1.00001034133495,0.999867215551981,0.999791982297827,52.6700000000001
41,0.191358333333974,0.977777777777778,1.00011066833404,1.00034861660099,1.00035496258642,1.00003152092664,52.064
42,-1.51993333333271,0.955555555555556,1.00113713218232,1.00013963224423,1.00017514841364,1.00073469995851,51.64
43,3.20499444444415,0.968888888888889,0.999765935429417,1.00060264721524,1.00022432934404,1.00012392614298,51.906
44,-2.60289999999753,0.964444444444444,1.00414111450987,1.00066523596326,1.00026905102629,1.00072388705948,51.459
45,-2.19046666666672,0.937777777777778,0.999761697041367,0.999846630112288,1.0000917991125,1.00078792380835,51.761
46,0.175469444446549,0.968888888888889,1.00043202088485,1.00096012478422,0.999756667693593,1.0001705468518,51.655
47,-1.30234444444397,0.946666666666667,1.0066284178558,1.00053234123509,1.00039943018711,0.99990563229191,51.578
48,-4.3530888888906,0.977777777777778,1.00052128755429,0.999933307839944,1.00010797529227,1.00004696853373,52.17
49,-0.460205555556806,0.96,1.0000127910679,1.00066399127841,1.00010044775901,0.99998434285583,52.824
50,-5.51508611111097,0.924444444444444,1.00042000703784,1.00112279732131,1.00116270862751,0.999894513634265,52.966
