"Run","Bias","CI_Coverage","Gelman_rho","Gelman_log_kappa","Gelman_P1","Runtime"
301,-4.05392222222109,0.942222222222222,0.999880632600803,1.00034259927459,1.00029926023004,154.588
302,-1.65396111110942,0.964444444444444,1.00066935734251,0.999749396387847,0.999864143873641,155.392
303,-3.30684166666557,0.968888888888889,1.00054909478356,1.0001580696623,1.00068821719578,154.999
304,-2.35578888888917,0.96,0.999853486884971,1.00023086071498,1.00005322073288,154.326
305,-3.01734444444288,0.96,1.00073263700026,1.00027428801854,1.0002526710335,155.17
306,4.44857777777765,0.96,1.00097051178103,1.00003583572072,1.00004536929603,154.637
307,-7.57378888888994,0.951111111111111,1.00240440389445,1.00052096773367,1.00177464095609,154.933
308,6.01714166666635,0.96,1.00031851784713,0.999821761736023,1.00028341777074,154.707
309,1.05934444444518,0.937777777777778,1.00135694823582,1.0008378248221,1.00104450320764,154.43
310,-1.79589722222302,0.968888888888889,1.00051033013698,1.00021108890972,1.000611566799,155.653
311,-2.5670222222225,0.96,1.00023740852033,0.999875133730993,0.99973515569194,154.649
312,-1.71999444444431,0.977777777777778,1.00200791032932,1.00022117764394,0.99983213507195,155.538
313,-6.01676111110982,0.96,1.00067916015216,0.999814495269018,1.00049482400624,154.84
314,6.66899722222468,0.968888888888889,1.00067696782186,1.00065135564781,1.00024249795831,154.09
315,-3.62302777778044,0.946666666666667,1.00148850514774,1.00029937732304,1.00075413360304,154.58
316,1.10924444444402,0.915555555555556,1.00086730564379,1.00016697983461,1.00003819464239,155.207
317,-2.59757222222208,0.942222222222222,1.00111237679094,1.00072103542154,1.00301233193199,155.731
318,0.826297222223592,0.96,0.999790731047591,1.00071922200301,1.00085406098183,155.259
319,-3.74144999999913,0.96,0.999958333701128,1.00049919553702,1.00010897294535,155.04
320,-2.44881388889039,0.924444444444444,1.00101262258322,1.00036573347848,0.999856468947679,154.717
321,2.49032222222343,0.942222222222222,1.00008434116018,1.00015750476043,1.00083641461273,154.966
322,-0.127063888889589,0.946666666666667,1.00170268052705,0.999872301014682,1.00052676804528,155.958
323,-7.14524999999935,0.942222222222222,1.00129876363162,1.00055869538789,1.00061564904513,154.781
324,2.86229444444418,0.968888888888889,1.00121243924497,1.00111761162793,1.00014558315236,154.45
325,3.89710833333302,0.964444444444444,1.00173487220856,1.00037348907052,1.00063790846952,154.796
326,-1.44302500000069,0.96,0.999940359421063,1.00022777620921,1.00031942275477,154.24
327,0.0359999999998912,0.951111111111111,1.0004774809321,0.999990986619437,0.999736008420181,154.458
328,1.19788055555392,0.96,0.999945366862817,1.00014181129212,1.00081358766512,154.653
329,-5.32099722222365,0.937777777777778,1.00059850590885,1.00046176138327,1.00039614988442,154.81
330,1.74155833333303,0.933333333333333,1.00134099969039,0.999819764731472,0.999846851913273,154.537
331,0.85966944444435,0.955555555555556,0.999925119559843,1.0003250032527,1.00078199819711,155.807
332,-4.75336388888715,0.968888888888889,1.00032118192306,1.00215488327763,1.00000187184168,155.694
333,-2.11868611111078,0.937777777777778,1.00233282696293,0.999880238798516,1.00023295437432,155.111
334,-5.58113611111158,0.942222222222222,0.999874340115289,0.999989418079014,1.00022864326702,155.475
335,2.20775555555588,0.955555555555556,1.00017299213302,1.00007643145222,0.999832144615658,155.41
336,5.72291944444412,0.955555555555556,1.00048874824847,1.00054500232871,1.00054286008633,154.003
337,0.375916666667563,0.942222222222222,0.99980052398195,1.00164503109091,1.00011036229136,154.483
338,0.703738888888981,0.951111111111111,1.00008718193706,1.00000765064143,0.999884768841312,154.903
339,1.77243888888883,0.946666666666667,1.00313479602149,1.00072670229832,1.00041296151761,154.309
340,-1.6046749999994,0.928888888888889,1.0004658197976,1.00070652517278,1.0005707195244,153.923
341,3.77654722222197,0.955555555555556,1.00002299919785,1.0006314049724,1.0001843095403,155.223
342,-3.94657777777902,0.946666666666667,1.00075313748552,0.99987950149856,0.999959699089007,154.416
343,9.29811944444358,0.92,1.0002721712925,1.00011744603681,0.999952339523925,154.61
344,5.99641111110929,0.942222222222222,0.999834212800618,1.00067699180007,1.00041215776343,154.38
345,1.23490277777777,0.955555555555556,1.00156477692654,0.999931250118952,1.00002837179645,154.562
346,2.80835277777798,0.933333333333333,1.00027313323327,0.999964820414249,1.0020616541128,154.931
347,2.16253333333524,0.951111111111111,1.00094213820371,1.00058937079178,0.999809755900625,155.695
348,3.46578611111134,0.937777777777778,0.999703467490773,1.00058581420243,0.999933724388826,154.817
349,2.12448888888815,0.951111111111111,0.999947483286271,1.00058261044599,1.00016316974383,155.093
350,0.511027777778898,0.946666666666667,1.00026767909006,1.00103771121685,1.00054108047304,154.766
