"Run","NoBench_Bias","NoBench_Coverage","NoBench_Gelman_rho","NoBench_Gelman_log_kappa","NoBench_Gelman_S1","NoBench_Gelman_P1","NoBench_Runtime","Bench_Bias","Bench_Coverage","Bench_Gelman_rho","Bench_Gelman_log_kappa","Bench_Gelman_S1","Bench_Gelman_P1","Bench_Runtime","Diff_Bench_Pstar","Diff_NoBench_Pstar","Diff_Bench_NoBench"
1,-0.678230555553397,0.951111111111111,0.999903532155342,0.999824528856638,0.999930233255191,0.999784162974287,49.476,-0.704622222223705,0.955555555555556,1.00032329903873,1.00066172576272,1.00065315455108,1.00055676307176,152.167,1.15501666666822,1.03209722222192,1.3622638888875
2,2.38770277777926,0.951111111111111,1.00037991485063,1.00004296980442,1.00001507302282,1.00051228666859,49.807,2.39912500000059,0.951111111111111,1.00003603756558,0.999914229003736,1.00053099684208,1.00024024816096,150.742,1.01359166666697,1.08191944444418,1.35590000000174
3,-2.75850555555514,0.951111111111111,1.00002648868611,1.00043262377685,1.00053461508733,1.00008328109378,47.2049999999999,-2.60938333333144,0.951111111111111,1.00039022327095,1.00124853090075,1.00099098763001,1.00008204337828,149.167,1.26390000000071,1.11978333333227,1.56843888888804
4,6.04673333333515,0.955555555555556,1.00177892517604,0.999827410869735,0.999959032635024,0.999989952374489,48.812,6.00495555555572,0.946666666666667,1.00043258160002,1.00048901482919,1.00009212504122,1.00036414945534,151.864,1.07133888889082,1.0635388888871,1.34962777777566
5,-6.55293888888736,0.946666666666667,1.00015824546145,1.00017211098747,1.00176150474417,1.00043388576528,49.683,-6.45418888888789,0.946666666666667,1.00091067163848,1.00094394473149,0.999812939027831,0.999952879439183,151.184,1.10417222222156,1.10788888888877,1.57936111111149
6,-5.54722222222111,0.955555555555556,1.00084843620506,1.00017400131324,1.00046935710674,1.00021387216682,49.667,-5.70897500000032,0.955555555555556,1.0014038099625,1.00020209502384,1.00081974035722,1.00014949365938,151.995,1.11914166666824,1.07436666666623,1.43728611111065
7,5.29911666666671,0.946666666666667,1.00030903749323,0.99973572995252,1.00081323639989,1.00070893032061,49.722,5.25185000000086,0.946666666666667,0.999979639554537,0.999999809902963,1.00211602494712,0.999968079445628,150.481,1.13150555555533,1.02377777777801,1.49471111111117
8,-3.78175833333129,0.942222222222222,1.00017905750437,1.00056053741576,1.00023953830594,1.00089699024215,47.071,-3.83328333333369,0.942222222222222,1.00246250818333,1.00031750453283,1.00013105306962,1.00031157392892,149.017,1.18889999999806,1.09299722222301,1.5438361111046
9,2.66332222222236,0.968888888888889,1.00052226974656,1.00008953315669,1.0007396810889,0.999851628052183,49.487,2.52636666666615,0.973333333333333,0.999949937028716,1.00029937069152,1.00052713199848,0.999803533904153,152.172,1.1383666666646,1.07562777777488,1.49221111110726
10,1.75546111111185,0.942222222222222,1.00204716491543,1.0003405555355,1.00025020780062,1.00085485768559,49.721,1.65321111111269,0.937777777777778,1.00053631017428,1.00004265579101,0.999796554052598,1.00006637922019,150.481,1.18074999999955,1.03339999999845,1.41367777777624
